ACCEPT_CONTENT_TYPE	TP	FP	TN	FN
上报催办	1	0	3	0
业扩变更	2	15	251	1
业扩报装	1	7	81	0
业扩超时	2	10	6	2
中介	1	6	22	1
中介来电	6	13	85	5
中介查户号	1	0	1	0
中介查询电费	1	0	1	1
交费差错更正	3	0	19	0
人员态度	89	25	10	2
人员违规	81	54	10	2
企业信息	0	4	18	1
供电企业供电设施消缺	5	10	167	2
供电服务	1	0	13	0
供电服务2	1	0	14	0
供电设施	2	1	0	0
供电设施消缺	1	1	10	1
信息不全	1	1	0	0
信息咨询	6	7	2253	21
信息补充	8	1	3	6
停电信息	2	13	5136	68
停电信息2	1	0	5	0
停电公告	0	8	9	2
停电问题	0	10	106	6
催收电费	153	12	4210	27
催缴费	315	28	43	3
其他	1	0	9	0
分时电价	666	386	10649	610
初步确定串户	3	1	2	0
前工单	0	0	1	1
前期工单	0	0	10	1
协助	11	13	850	15
卡表故障	0	0	242	4
发票领取方式	1	2	93	0
取消短信	6	1	94	2
变更用电	1	3	83	0
变更用电业	1	0	1	0
变更用电业务	5	10	3933	48
咨询停电信息	2	0	1	1
咨询密码	2	0	1	0
咨询电价电费	2	2	4	0
咨询电表号	1	0	2	1
咨询电量异常	1	1	1	1
咨询缴费总户号	1	1	14	0
回呼	0	3	370	7
回呼客户	1	2	64	3
回呼工单	0	0	23	1
回呼无声	1	0	1	0
回呼无声电话	1	0	1	0
回呼电话	2	5	2105	46
回呼，查询电费	1	0	1	0
回访	1	0	5	0
回访派单	2	7	189	1
处理结果	0	0	1	1
处理进度	9	17	3328	86
复电	47	12	90	7
复电申请	581	205	934	148
多媒体	1	1	0	0
多户无电	269	98	6442	109
大工业电费	9	1	13	2
定比定量	2	0	2	0
定量定比调整	1	0	11	0
客户信息不全待报修	1	1	2	0
客户信息不全，待反映	0	1	9	1
客户信息不全，待核实	0	1	14	1
客户催办	1225	42	17	11
客户联系方式调整	1	15	84	0
家用电器损坏	1	0	1	0
家电损坏	3	3	81	1
密码重置	0	10	67	1
对内投诉	2	3	31	1
对内表扬	1	0	1	2
居民/非居民内部故障	1	2	29	0
居民内部故障	0	5	186	3
异常来电	3	2	31	2
户表轮换	7	1	75	2
抄表	108	8	5	5
抄表收费	0	0	2	1
抄表数据异常	272	7	1185	82
抄表日期	4	0	3	1
抄表时间	2	0	117	5
抄表示数	8917	3512	16431	2898
抢修时限	3	1	1	0
抢修服务	2	6	1	0
抢修质量	1	0	1	0
掌上电力APP	0	4	938	22
接户线断	0	0	1	1
撤销业务	0	2	434	20
支付宝缴费	1	0	1	0
收费标准	5	2	31	0
新增订阅	209	86	2604	82
新装增容	2	16	768	20
施工人员服务态度	2	5	0	0
施工人员服务规范	1	6	1	0
施工现场恢复	0	2	0	1
无故停电	53	3	5	2
服务渠道	0	0	684	14
未收到电力短信	2	1	0	0
杂项业务	2	9	192	1
查询电费	36889	16550	155609	12739
查询电量	6	1	0	0
校验电表	7	0	64	1
核实信息	0	0	12	1
欠费停复电	473	140	472	97
欠费复电登记	1066	224	1138	141
烧表	0	0	5	1
用户侧需求配合	0	0	2	1
用户信息	2223	1001	2118	783
用电业务	1	4	75	7
用电变更	16	30	47	16
用电技术	0	0	32	1
电价标准	117	33	1618	130
电价电费	17	1	389	15
电价电量	1	0	1	0
电卡表故障	1	0	5	0
电器损坏核损	9	24	626	9
电线打火	1	3	5	2
电能表异常	188	63	3225	19
电能计量	61	8	117	3
电表故障	0	0	48	1
电费	1	0	1	0
电费信息	0	0	1	1
电费充值卡	5	1	79	1
电费发票	19	1	615	7
电费抄核收	905	181	36	49
电费电价	105	16	119	10
电费电量及违约金	2	0	1	1
电费误充	1	0	31	5
电费账单寄送	49	0	286	10
电费退补	1	0	24	0
电费通知单	1	0	9	0
电量异常	623	284	6748	653
短信变更	48	21	2227	37
短信订阅	166	229	8156	296
第三方支付	0	0	3	1
第三方网点	0	3	66	2
系统故障	1	4	48	0
系统补单	1	0	7	0
缴费	1	0	5	0
缴费方式	453	227	5877	230
缺相	0	9	28	1
网上缴费	0	0	5	1
网站绑定	0	1	0	1
网站账户	2	0	1	0
营业厅服务	12	8	2	0
行风廉政	1	0	39	1
补充信息	965	216	9	10
表箱故障	39	19	968	17
表计产权	1	0	4	0
表计信息	37	15	501	19
表计故障	23	2	209	10
表计故障2	8	1	11	4
表计线接错	78	62	31	13
表计线路接错	1	1	20	0
计划结算电费	2	0	15	2
计量表位置不合理	1	2	56	0
计量装置	24	10	30	11
设备噪音	1	2	26	0
账户预收余额	1	5	55	0
跨部门回呼	0	0	2	2
退订	4	30	15201	221
重复工单	0	0	6	1
重复缴费	1	0	77	2
错发短信	1	4	18	1
阶梯电价	700	139	2456	155
非家电设备损坏	1	0	30	1
非居民内部故障	0	3	9	2
预约抄表	7	0	180	8
频繁停电	52	10	6	1
频繁跳闸	1	4	59	0
验表	480	164	552	135
验表超时	31	6	0	1
